,Track_ID,Track_Name,Artist_Name,Artist_ID,Artist_followers,Artist_genres,Artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,Unnamed: 0,Position_two_wks,Track Name,Artist_two_wks,Streams_two_wks,URL_two_wks,Position_one_wk,Artist_one_wk,Streams_one_wk,URL_one_wk,neg_lyric_score,neu_lyric_score,pos_lyric_score,com_lyric_score,neg_twitter_artist_score,neu_twitter_artist_score,pos_twitter_artist_score,com_twitter_artist_score
860,6bOkaEXc5CopinGazSLokx,WHAT'S GOOD,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,3517995,"['hip hop', 'pop rap', 'rap']",86,0.458,0.909,1,-6.553,1,0.487,0.0567,4.26e-06,0.11,0.449,118.227,0.909,6bOkaEXc5CopinGazSLokx,spotify:track:6bOkaEXc5CopinGazSLokx,https://api.spotify.com/v1/tracks/6bOkaEXc5CopinGazSLokx,https://api.spotify.com/v1/audio-analysis/6bOkaEXc5CopinGazSLokx,205627,4,179,,WHAT'S GOOD,,,,64,"Tyler, The Creator",9062349,https://open.spotify.com/track/6bOkaEXc5CopinGazSLokx,0,0,0,0,0,0,0,0
861,6bOkaEXc5CopinGazSLokx,WHAT'S GOOD,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,3517995,"['hip hop', 'pop rap', 'rap']",86,0.458,0.909,1,-6.553,1,0.487,0.0567,4.26e-06,0.11,0.449,118.227,0.909,6bOkaEXc5CopinGazSLokx,spotify:track:6bOkaEXc5CopinGazSLokx,https://api.spotify.com/v1/tracks/6bOkaEXc5CopinGazSLokx,https://api.spotify.com/v1/audio-analysis/6bOkaEXc5CopinGazSLokx,205627,4,179,,WHAT'S GOOD,,,,64,"Tyler, The Creator",9062349,https://open.spotify.com/track/6bOkaEXc5CopinGazSLokx,0,0,0,0,0,0,0,0
862,0mjAU3yKR1QnXnHtjGJqTM,Rescue Me,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,8923542,"['dance pop', 'neo mellow', 'piano rock', 'pop', 'pop rock']",86,0.759,0.605,7,-7.737,1,0.0433,0.156,0.0,0.694,0.64,121.049,0.605,0mjAU3yKR1QnXnHtjGJqTM,spotify:track:0mjAU3yKR1QnXnHtjGJqTM,https://api.spotify.com/v1/tracks/0mjAU3yKR1QnXnHtjGJqTM,https://api.spotify.com/v1/audio-analysis/0mjAU3yKR1QnXnHtjGJqTM,158900,4,180,,Rescue Me,,,,65,OneRepublic,9031796,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM,0,0,0,0,0,0,0,0
863,0mjAU3yKR1QnXnHtjGJqTM,Rescue Me,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,8923542,"['dance pop', 'neo mellow', 'piano rock', 'pop', 'pop rock']",86,0.759,0.605,7,-7.737,1,0.0433,0.156,0.0,0.694,0.64,121.049,0.605,0mjAU3yKR1QnXnHtjGJqTM,spotify:track:0mjAU3yKR1QnXnHtjGJqTM,https://api.spotify.com/v1/tracks/0mjAU3yKR1QnXnHtjGJqTM,https://api.spotify.com/v1/audio-analysis/0mjAU3yKR1QnXnHtjGJqTM,158900,4,180,,Rescue Me,,,,65,OneRepublic,9031796,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM,0,0,0,0,0,0,0,0
864,4szQkW1CDHqbRZGltXJdd3,Soldi,Mahmood,06nvjg4wBANK6DCHjqtPNd,389930,['italian arena pop'],76,0.729,0.589,3,-9.871,0,0.0483,0.0361,0.0,0.305,0.349,95.065,0.589,4szQkW1CDHqbRZGltXJdd3,spotify:track:4szQkW1CDHqbRZGltXJdd3,https://api.spotify.com/v1/tracks/4szQkW1CDHqbRZGltXJdd3,https://api.spotify.com/v1/audio-analysis/4szQkW1CDHqbRZGltXJdd3,195133,4,181,,Soldi,,,,66,Mahmood,8993273,https://open.spotify.com/track/4szQkW1CDHqbRZGltXJdd3,0,0,0,0,0,0,0,0
865,4szQkW1CDHqbRZGltXJdd3,Soldi,Mahmood,06nvjg4wBANK6DCHjqtPNd,389930,['italian arena pop'],76,0.729,0.589,3,-9.871,0,0.0483,0.0361,0.0,0.305,0.349,95.065,0.589,4szQkW1CDHqbRZGltXJdd3,spotify:track:4szQkW1CDHqbRZGltXJdd3,https://api.spotify.com/v1/tracks/4szQkW1CDHqbRZGltXJdd3,https://api.spotify.com/v1/audio-analysis/4szQkW1CDHqbRZGltXJdd3,195133,4,181,,Soldi,,,,66,Mahmood,8993273,https://open.spotify.com/track/4szQkW1CDHqbRZGltXJdd3,0,0,0,0,0,0,0,0
866,0b6UoVjUzFyZNpHI0aAhKt,Celebrate (feat. Travis Scott & Post Malone),DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,4313137,"['dance pop', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",81,0.362,0.714,9,-3.07,0,0.0835,0.269,0.0,0.21,0.309,67.4,0.714,0b6UoVjUzFyZNpHI0aAhKt,spotify:track:0b6UoVjUzFyZNpHI0aAhKt,https://api.spotify.com/v1/tracks/0b6UoVjUzFyZNpHI0aAhKt,https://api.spotify.com/v1/audio-analysis/0b6UoVjUzFyZNpHI0aAhKt,206499,4,182,,Celebrate (feat. Travis Scott & Post Malone),,,,67,DJ Khaled,8661535,https://open.spotify.com/track/0b6UoVjUzFyZNpHI0aAhKt,0,0,0,0,0,0,0,0
867,0b6UoVjUzFyZNpHI0aAhKt,Celebrate (feat. Travis Scott & Post Malone),DJ Khaled,0QHgL1lAIqAw0HtD7YldmP,4313137,"['dance pop', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",81,0.362,0.714,9,-3.07,0,0.0835,0.269,0.0,0.21,0.309,67.4,0.714,0b6UoVjUzFyZNpHI0aAhKt,spotify:track:0b6UoVjUzFyZNpHI0aAhKt,https://api.spotify.com/v1/tracks/0b6UoVjUzFyZNpHI0aAhKt,https://api.spotify.com/v1/audio-analysis/0b6UoVjUzFyZNpHI0aAhKt,206499,4,182,,Celebrate (feat. Travis Scott & Post Malone),,,,67,DJ Khaled,8661535,https://open.spotify.com/track/0b6UoVjUzFyZNpHI0aAhKt,0,0,0,0,0,0,0,0
868,0wEC0GNF74lAqrEFZJMl1m,PUPPET,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,3517995,"['hip hop', 'pop rap', 'rap']",86,0.508,0.557,8,-8.967,0,0.0478,0.00235,0.0134,0.588,0.199,77.572,0.557,0wEC0GNF74lAqrEFZJMl1m,spotify:track:0wEC0GNF74lAqrEFZJMl1m,https://api.spotify.com/v1/tracks/0wEC0GNF74lAqrEFZJMl1m,https://api.spotify.com/v1/audio-analysis/0wEC0GNF74lAqrEFZJMl1m,179013,4,183,,PUPPET,,,,69,"Tyler, The Creator",8447558,https://open.spotify.com/track/0wEC0GNF74lAqrEFZJMl1m,0,0,0,0,0,0,0,0
869,0wEC0GNF74lAqrEFZJMl1m,PUPPET,"Tyler, The Creator",4V8LLVI7PbaPR0K2TGSxFF,3517995,"['hip hop', 'pop rap', 'rap']",86,0.508,0.557,8,-8.967,0,0.0478,0.00235,0.0134,0.588,0.199,77.572,0.557,0wEC0GNF74lAqrEFZJMl1m,spotify:track:0wEC0GNF74lAqrEFZJMl1m,https://api.spotify.com/v1/tracks/0wEC0GNF74lAqrEFZJMl1m,https://api.spotify.com/v1/audio-analysis/0wEC0GNF74lAqrEFZJMl1m,179013,4,183,,PUPPET,,,,69,"Tyler, The Creator",8447558,https://open.spotify.com/track/0wEC0GNF74lAqrEFZJMl1m,0,0,0,0,0,0,0,0
