,Track_ID,Track_Name,Artist_Name,Artist_ID,Artist_followers,Artist_genres,Artist_popularity
128,6mAN61JH0dzyZpWslS11jy,Fantasias,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,356202,"['latin', 'reggaeton']",88
129,1CCDIow4pPYyJYzhtTUYz2,RAW SHIT (feat. Migos),DaBaby,4r63FhuTkUYltbVAg5TQnk,1371237,"['nc hip hop', 'pop rap', 'rap']",93
130,6wyr4ReB05D9sJB1Rsmcqo,Chicken Noodle Soup (feat. Becky G),j-hope,0b1sIQumIAsNbqAoIClSpy,2370770,"['k-hop', 'k-pop']",70
131,2FvD20Z8aoWIePi7PoN8sG,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,4r63FhuTkUYltbVAg5TQnk,1371237,"['nc hip hop', 'pop rap', 'rap']",93
132,5aUSEPNd3m5xliFK4pn5mU,Good Thing (with Kehlani),Zedd,2qxJFvFYMEDqd7ui6kSAcq,4891667,"['complextro', 'dance pop', 'edm', 'electro house', 'german techno', 'pop', 'post-teen pop', 'tropical house']",86
133,0c7K73roy6RW4ebDkf4yGh,VALENTINO,24kGoldn,6fWVd57NKTalqvmjRd2t8Z,34940,['cali rap'],76
134,7lnQCEtaDJeMZN75siSxLc,Fabergé,RIN,18ISxWwWjV6rPLoVCXf1dz,393669,"['german cloud rap', 'german hip hop']",78
136,1iQDltZqI7BXnHrFy4Qo1k,Trampoline (with ZAYN),SHAED,3KwmxIhSe9UTSEF37kwngR,72812,"['electropop', 'pop']",81
137,7iHHxY2NLlJRAmlAmC4ahQ,Stuck In A Dream (feat. Gunna),Lil Mosey,5zctI4wO9XSKS8XwcnqEHk,1222427,"['melodic rap', 'pop rap', 'rap', 'rap conscient', 'trap', 'vapor trap']",85
138,2b8fOow8UzyDFAE27YhOZM,Memories,Maroon 5,04gDigrS5kc9YWfZHwBETP,21028233,"['pop', 'pop rock']",93
139,5dAbSH2xc7CwFHHs649Vx6,"Beethoven: Elegy on the Death of a Poodle, WoO 110",Ludwig van Beethoven,2wOqMjp9TyABvtHdOSOTUS,2950642,"['classical', 'classical era', 'early romantic era']",77
140,4bJygwUKrRgq1stlNXcgMg,All The Things She Said,t.A.T.u.,2Q3eZMfDQgT8MhPowKFXYO,365703,"['dance pop', 'girl group']",62
141,77KMttn3Lic7ZQKDlPqp8v,INTRO,DaBaby,4r63FhuTkUYltbVAg5TQnk,1371237,"['nc hip hop', 'pop rap', 'rap']",93
143,72FTwwTOazhuJ1titOxq65,Ronin,Sturgill Simpson,3vDpQbGnzRbRVirXlfQagB,333623,"['alternative americana', 'nashville singer-songwriter', 'new americana', 'outlaw country', 'roots rock']",69
