,Track_ID,Track_Name,Artist_Name,Artist_ID,Artist_followers,Artist_genres,Artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
370,6kXNnS7JJz0nAv4XEwEmQJ,Heart Upon My Sleeve (feat. Imagine Dragons),Avicii,1vCWHaC5f2uS3yhpwWbIA6,15989539,"['big room', 'edm', 'pop']",87,0.588,0.601,4,-5.983,0,0.0332,0.316,0.0,0.148,0.38,126.06,0.601,6kXNnS7JJz0nAv4XEwEmQJ,spotify:track:6kXNnS7JJz0nAv4XEwEmQJ,https://api.spotify.com/v1/tracks/6kXNnS7JJz0nAv4XEwEmQJ,https://api.spotify.com/v1/audio-analysis/6kXNnS7JJz0nAv4XEwEmQJ,254166,3
371,0HZgYFimoJG9Ijy8InUWcV,Bad Reputation (feat. Joe Janiak),Avicii,1vCWHaC5f2uS3yhpwWbIA6,15989539,"['big room', 'edm', 'pop']",87,0.745,0.637,0,-5.959,1,0.0512,0.656,6.5e-06,0.0993,0.446,89.995,0.637,0HZgYFimoJG9Ijy8InUWcV,spotify:track:0HZgYFimoJG9Ijy8InUWcV,https://api.spotify.com/v1/tracks/0HZgYFimoJG9Ijy8InUWcV,https://api.spotify.com/v1/audio-analysis/0HZgYFimoJG9Ijy8InUWcV,205417,4
372,6EBlOYNcZ8MrdEov9lEdV6,Hold The Line (feat. A R I Z O N A),Avicii,1vCWHaC5f2uS3yhpwWbIA6,15989539,"['big room', 'edm', 'pop']",87,0.648,0.554,9,-7.005,1,0.0341,0.329,2.56e-05,0.0803,0.372,98.045,0.554,6EBlOYNcZ8MrdEov9lEdV6,spotify:track:6EBlOYNcZ8MrdEov9lEdV6,https://api.spotify.com/v1/tracks/6EBlOYNcZ8MrdEov9lEdV6,https://api.spotify.com/v1/audio-analysis/6EBlOYNcZ8MrdEov9lEdV6,171786,4
373,0XPsOSYzDJZJArevQNm2AR,Speechless (Full),Naomi Scott,2Zi3RrdQqk63Xj0914STkS,128532,['vapor pop'],72,0.474,0.489,6,-7.625,0,0.0342,0.467,0.0,0.119,0.23,124.844,0.489,0XPsOSYzDJZJArevQNm2AR,spotify:track:0XPsOSYzDJZJArevQNm2AR,https://api.spotify.com/v1/tracks/0XPsOSYzDJZJArevQNm2AR,https://api.spotify.com/v1/audio-analysis/0XPsOSYzDJZJArevQNm2AR,208801,4
374,1vYh9x8UmFTLbXiizk9Qc5,I Believe,Jonas Brothers,7gOdHgIoIKoe4i9Tta6qdD,3264426,"['boy band', 'dance pop', 'pop', 'pop rock', 'post-teen pop']",87,0.749,0.774,9,-6.221,1,0.12,0.0857,1.14e-05,0.11,0.35,99.019,0.774,1vYh9x8UmFTLbXiizk9Qc5,spotify:track:1vYh9x8UmFTLbXiizk9Qc5,https://api.spotify.com/v1/tracks/1vYh9x8UmFTLbXiizk9Qc5,https://api.spotify.com/v1/audio-analysis/1vYh9x8UmFTLbXiizk9Qc5,217533,4
375,6KxCRJ9DzNBVGM3ol0JQ7r,Irina Shayk,Ufo361,5pVRwX5ZQR7hfJ18w8ZYkl,1184244,"['german cloud rap', 'german hip hop']",83,0.639,0.601,2,-9.505,0,0.0512,0.17,0.0213,0.17,0.219,74.971,0.601,6KxCRJ9DzNBVGM3ol0JQ7r,spotify:track:6KxCRJ9DzNBVGM3ol0JQ7r,https://api.spotify.com/v1/tracks/6KxCRJ9DzNBVGM3ol0JQ7r,https://api.spotify.com/v1/audio-analysis/6KxCRJ9DzNBVGM3ol0JQ7r,147452,4
376,2Qz1GjI5gnZGcShAh5x0im,NENENE,Fero47,4A7HeXSd4HtQuf6IR5XZ1b,258478,['german hip hop'],71,0.72,0.83,6,-4.85,0,0.101,0.0358,0.0,0.155,0.745,130.059,0.83,2Qz1GjI5gnZGcShAh5x0im,spotify:track:2Qz1GjI5gnZGcShAh5x0im,https://api.spotify.com/v1/tracks/2Qz1GjI5gnZGcShAh5x0im,https://api.spotify.com/v1/audio-analysis/2Qz1GjI5gnZGcShAh5x0im,182116,4
377,5PYQUBXc7NYeI1obMKSJK0,Never Really Over,Katy Perry,6jJ0s89eD6GaHleKKya26X,14242059,"['dance pop', 'pop', 'post-teen pop']",88,0.77,0.882,8,-4.792,1,0.0602,0.194,0.0,0.316,0.385,99.991,0.882,5PYQUBXc7NYeI1obMKSJK0,spotify:track:5PYQUBXc7NYeI1obMKSJK0,https://api.spotify.com/v1/tracks/5PYQUBXc7NYeI1obMKSJK0,https://api.spotify.com/v1/audio-analysis/5PYQUBXc7NYeI1obMKSJK0,223523,4
378,2WyRfGeHo97VC5mP1BBSzr,Mother's Daughter,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,10373712,"['dance pop', 'pop', 'post-teen pop']",87,0.681,0.865,1,-4.132,0,0.0594,0.00464,0.00169,0.149,0.528,91.017,0.865,2WyRfGeHo97VC5mP1BBSzr,spotify:track:2WyRfGeHo97VC5mP1BBSzr,https://api.spotify.com/v1/tracks/2WyRfGeHo97VC5mP1BBSzr,https://api.spotify.com/v1/audio-analysis/2WyRfGeHo97VC5mP1BBSzr,219080,4
379,2TH65lNHgvLxCKXM3apjxI,Callaita,Bad Bunny,4q3ewBCX7sLwd24euuV69X,16797101,"['latin', 'reggaeton', 'trap latino']",97,0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,0.624,2TH65lNHgvLxCKXM3apjxI,spotify:track:2TH65lNHgvLxCKXM3apjxI,https://api.spotify.com/v1/tracks/2TH65lNHgvLxCKXM3apjxI,https://api.spotify.com/v1/audio-analysis/2TH65lNHgvLxCKXM3apjxI,250534,4
380,6IJTc8xo6XasOU8fpxMU57,Call You Mine,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,14625745,"['electropop', 'pop', 'tropical house']",90,0.591,0.702,7,-5.59,1,0.0289,0.225,0.0,0.414,0.501,104.003,0.702,6IJTc8xo6XasOU8fpxMU57,spotify:track:6IJTc8xo6XasOU8fpxMU57,https://api.spotify.com/v1/tracks/6IJTc8xo6XasOU8fpxMU57,https://api.spotify.com/v1/audio-analysis/6IJTc8xo6XasOU8fpxMU57,217653,4
381,5Uw7Dut2lZfexn3Y09swpf,Find U Again (feat. Camila Cabello),Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,721767,"['dance pop', 'pop']",82,0.605,0.664,8,-7.162,1,0.0316,0.00548,3e-06,0.204,0.164,103.997,0.664,5Uw7Dut2lZfexn3Y09swpf,spotify:track:5Uw7Dut2lZfexn3Y09swpf,https://api.spotify.com/v1/tracks/5Uw7Dut2lZfexn3Y09swpf,https://api.spotify.com/v1/audio-analysis/5Uw7Dut2lZfexn3Y09swpf,176417,4
