,Position_two_wks,Track Name,Artist_two_wks,Streams_two_wks,URL_two_wks,Position_one_wk,Artist_one_wk,Streams_one_wk,URL_one_wk
180,,A Thousand Bad Times,,,,19,Post Malone,19204719,https://open.spotify.com/track/3hFG4jR5stnIQJDI64KlJY
181,,Allergic,,,,22,Post Malone,17176868,https://open.spotify.com/track/4LIbjDbLweGCrHVw8QbMSb
182,,I'm Gonna Be,,,,25,Post Malone,16445471,https://open.spotify.com/track/4hDoWaIklSVAKLocU3IDBr
183,,Staring At The Sun (feat. SZA),,,,27,Post Malone,16203381,https://open.spotify.com/track/2leIuE4fdcJoNMSKu5Yr7a
184,,Liar,,,,34,Camila Cabello,14415914,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
185,,Myself,,,,39,Post Malone,12555928,https://open.spotify.com/track/4YgtN1HasxdDlrrZIggYxn
186,,I Know,,,,42,Post Malone,11954473,https://open.spotify.com/track/2sfZgYusD8bBvB7qWekvSx
187,,Internet,,,,44,Post Malone,11850920,https://open.spotify.com/track/4RzpCjByV1NWUGKVQGuej6
188,,Shameless,,,,54,Camila Cabello,10013820,https://open.spotify.com/track/3UYiU57SMiAS5LqolhHJw1
189,,Kein Plan,,,,74,Loredana,7390914,https://open.spotify.com/track/1skUhc3JS3jLCfugI3gm41
190,,Huracan,,,,82,Samra,7109307,https://open.spotify.com/track/6AFIVhbJLR7YVvW9fLFMu1
191,,Wanted,,,,112,OneRepublic,6185171,https://open.spotify.com/track/6hLkeOMrhZ2CMLBp2of576
192,,Ride It,,,,137,Regard,5578680,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
193,,Indeciso,,,,164,Reik,5046371,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
194,,223's (feat. 9lokknine),,,,171,YNW Melly,4935450,https://open.spotify.com/track/4sjiIpEv617LDXaidKioOI
195,,Te Quemaste,,,,173,Manuel Turizo,4891758,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC
196,,all the good girls go to hell,,,,177,Billie Eilish,4837277,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx
197,,All of Me,,,,195,John Legend,4584248,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
198,,Bruises,,,,197,Lewis Capaldi,4553321,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
199,,ocean eyes,,,,198,Billie Eilish,4521862,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
